ID,name,description,p,s,label,software
90,prepared_statements_cache_size_mb,Maximum size of the native protocol prepared statement cache,1,1,resource,cassandra
91,range_request_timeout_in_ms,How long the coordinator should wait for seq or index scans to complete,0,0,others,cassandra
92,read_request_timeout_in_ms,How long the coordinator should wait for read operations to complete,0,0,others,cassandra
93,request_timeout_in_ms,"The default timeout for other, miscellaneous operations",0,0,others,cassandra
94,role_manager,"Part of the Authentication & Authorization backend, implementing IRoleManager; used to maintain grants and memberships between roles.",0,0,others,cassandra
95,roles_update_interval_in_ms,"Refresh interval for roles cache (if enabled). After this interval, cache entries become eligible for refresh. Upon next access, an async reload is scheduled and the old value returned until it completes.",1,2,security-tradeoff,cassandra
96,roles_validity_in_ms,"Validity period for roles cache (fetching granted roles can be an expensive operation depending on the role manager, CassandraRoleManager is one example) Granted roles are cached for authenticated sessions in AuthenticatedUser and after the period specified here, become eligible for (async) reload.",1,2,security-tradeoff,cassandra
98,row_cache_keys_to_save,"Number of keys from the row cache to save. Specify 0 (which is the default), meaning all keys are going to be saved",1,1,resource,cassandra
99,row_cache_save_period,"Duration in seconds after which Cassandra should save the row cache. Saved caches greatly improve cold-start speeds, and is relatively cheap in terms of I/O for the key cache. Row cache saving is much more expensive and has limited use.",1,5,workload-specific,cassandra
100,row_cache_size_in_mb,Maximum size of the row cache in memory.,1,1,resource,cassandra
104,rpc_keepalive,enable or disable keepalive on rpc/native connections,0,0,others,cassandra
105,saved_caches_directory,"saved caches If not set, the default directory is $CASSANDRA_HOME/data/saved_caches.",0,0,others,cassandra
106,slow_query_log_timeout_in_ms,How long before a node logs slow queries.,0,0,others,cassandra
108,ssl_storage_port,"SSL port, for encrypted communication.",0,0,others,cassandra
111,storage_port,"TCP port, for commands and data For security reasons, you should not expose this port to the internet. Firewall it if needed.",0,0,others,cassandra
113,transparent_data_encryption_options,Enables encrypting data at-rest (on disk).,1,2,security-tradeoff,cassandra
115,truncate_request_timeout_in_ms,How long the coordinator should wait for truncates to complete,0,0,others,cassandra
116,write_request_timeout_in_ms,How long the coordinator should wait for writes to complete,0,0,others,cassandra
117,--analyze,Run the static analyzer,1,6,function-tradeoff,clang
118,--analyzer-output,Static analyzer report output format (html|plist|plist-multi-file|plist-html|sarif|text).,0,0,others,clang
120,-arcmt-migrate-report-output,Output path for the plist report,1,6,function-tradeoff,clang
121,-B,Add dir to search path for binaries and object files used implicitly,0,0,others,clang
122,-C(captal),Include comments in preprocessed output,1,6,function-tradeoff,clang
123,-c,"Only run preprocess, compile, and assemble steps",1,6,function-tradeoff,clang
124,-CC,Include comments from within macros in preprocessed output,1,6,function-tradeoff,clang
126,-cl-fast-relaxed-math,"OpenCL only. Sets -cl-finite-math-only and -cl-unsafe-math-optimizations, and defines __FAST_RELAXED_MATH__.",1,4,limited-side-effect,clang
127,-cl-finite-math-only,OpenCL only. Allow floating-point optimizations that assume arguments and results are not NaNs or +-Inf.,1,4,limited-side-effect,clang
128,-cl-fp32-correctly-rounded-divide-sqrt,OpenCL only. Specify that single precision floating-point divide and sqrt used in the program source are correctly rounded.,0,0,others,clang
129,-cl-kernel-arg-info,OpenCL only. Generate kernel argument metadata.,0,0,others,clang
130,-cl-mad-enable,OpenCL only. Allow use of less precise MAD computations in the generated binary.,0,0,others,clang
131,-cl-no-signed-zeros,OpenCL only. Allow use of less precise no signed zeros computations in the generated binary.,0,0,others,clang
132,-cl-opt-disable,OpenCL only. This option disables all optimizations. By default optimizations are enabled.,1,4,limited-side-effect,clang
133,-cl-single-precision-constant,OpenCL only. Treat double precision floating-point constant as single precision constant.,0,0,others,clang
134,-cl-std=value,OpenCL language standard to compile for.,0,0,others,clang
135,-cl-strict-aliasing,OpenCL only. This option is added for compatibility with OpenCL 1.0.,0,0,others,clang
136,-cl-uniform-work-group-size,OpenCL only. Defines that the global work-size be a multiple of the work-group size specified to clEnqueueNDRangeKernel,0,0,others,clang
138,--config,Specifies configuration file,0,0,others,clang
139,--cuda-compile-host-device,Compile CUDA code for both host and device (default). Has no effect on non-CUDA compilations.,0,0,others,clang
140,--cuda-device-only,Compile CUDA code for device only,0,0,others,clang
141,--cuda-gpu-arch,CUDA GPU architecture (e.g. sm_35). May be specified more than once.,0,0,others,clang
142,--cuda-host-only,Compile CUDA code for host only. Has no effect on non-CUDA compilations.,0,0,others,clang
145,--cuda-path=value,CUDA installation path,0,0,others,clang
146,--cuda-path-ignore-env,Ignore environment variables to detect CUDA installation,0,0,others,clang
147,-cxx-isystem,Add directory to the C++ SYSTEM include search path,0,0,others,clang
148,-D,Define <macro> to <value> (or 1 if <value> omitted),0,0,others,clang
149,-dD,Print macro definitions in -E mode in addition to normal output,1,6,function-tradeoff,clang
150,-dependency-dot,Filename to write DOT-formatted header dependencies to,0,0,others,clang
152,-dI,Print include directives in -E mode in addition to normal output,1,6,function-tradeoff,clang
153,-dM,Print macro definitions in -E mode instead of normal output,1,6,function-tradeoff,clang
154,-E,Only run the preprocessor,0,0,others,clang
155,-emit-ast,Emit Clang AST files for source inputs,1,6,function-tradeoff,clang
157,-emit-llvm,Use the LLVM representation for assembler and object files,1,6,function-tradeoff,clang
158,-emit-merged-ifs,"Generate Interface Stub Files, emit merged text not binary.",1,6,function-tradeoff,clang
159,-enable-trivial-auto-var-init-zero-knowing-it-will-be-removed-from-clang,"Trivial automatic variable initialization to zero is only here for benchmarks, it'll eventually be removed, and I'm OK with that because I'm only using it to benchmark",1,6,function-tradeoff,clang
160,-F,Add directory to framework include search path,0,0,others,clang
161,-faddrsig,Emit an address-significance table,1,6,function-tradeoff,clang
162,-faligned-allocation,Enable C++17 aligned allocation functions,0,0,others,clang
163,-fallow-editor-placeholders,Treat editor placeholders as valid source code,0,0,others,clang
165,-fapple-kext,Use Apple's kernel extensions ABI,0,0,others,clang
166,-fapple-link-rtlib,Force linking the clang builtins runtime library,0,0,others,clang
167,-fapple-pragma-pack,Enable Apple gcc-compatible #pragma pack handling,0,0,others,clang
168,-fapplication-extension,Restrict code to those available for App Extensions,0,0,others,clang
169,-fblocks,Enable the 'blocks' language feature,0,0,others,clang
170,-fborland-extensions,Accept non-standard constructs supported by the Borland compiler,0,0,others,clang
171,-fbuild-session-file=file,Use the last modification time of <file> as the build session timestamp,0,0,others,clang
172,-fbuild-session-timestamp=value ,Time when the current build session started,0,0,others,clang
173,-fbuiltin-module-map,Load the clang builtins module map file.,0,0,others,clang
174,-fc++-static-destructors,Enable C++ static destructor registration (the default),0,0,others,clang
175,-fcall-saved-x10,Make the x10 register call-saved (AArch64 only),0,0,others,clang
176,-fcall-saved-x11,Make the x11 register call-saved (AArch64 only),0,0,others,clang
177,-fcall-saved-x12,Make the x12 register call-saved (AArch64 only),0,0,others,clang
178,-fcall-saved-x13,Make the x13 register call-saved (AArch64 only),0,0,others,clang
179,-fcall-saved-x14,Make the x14 register call-saved (AArch64 only),0,0,others,clang
180,-fcall-saved-x15,Make the x15 register call-saved (AArch64 only),0,0,others,clang
181,-fcall-saved-x18,Make the x18 register call-saved (AArch64 only),0,0,others,clang
182,-fcall-saved-x8,Make the x8 register call-saved (AArch64 only),0,0,others,clang
183,-fcall-saved-x9,Make the x9 register call-saved (AArch64 only),0,0,others,clang
184,-fcf-protection,"Instrument control-flow architecture protection. Options: return, branch, full, none.",1,2,security-tradeoff,clang
185,-fchar8_t,Enable C++ builtin type char8_t,0,0,others,clang
186,-fclang-abi-compat,Attempt to match the ABI of Clang <version>,0,0,others,clang
187,-fcolor-diagnostics,Use colors in diagnostics,0,0,others,clang
188,-fcomment-block-commands,Treat each comma separated argument in <arg> as a documentation comment block command,0,0,others,clang
189,-fcomplete-member-pointers,Require member pointer base types to be complete if they would be significant under the Microsoft ABI,0,0,others,clang
190,-fconvergent-functions,Assume functions may be convergent,0,0,others,clang
191,-fcoroutines-ts,Enable support for the C++ Coroutines TS,0,0,others,clang
192,-fcoverage-mapping,Generate coverage mapping to enable code coverage analysis,0,0,others,clang
193,-fcs-profile-generate,Generate instrumented code to collect context sensitive execution counts into default.profraw (overridden by LLVM_PROFILE_FILE env var),0,0,others,clang
196,-fcuda-flush-denormals-to-zero,Flush denormal floating point values to zero in CUDA device mode.,0,0,others,clang
197,-fcuda-short-ptr,Use 32-bit pointers for accessing const/local/shared address spaces.,0,0,others,clang
200,-fdebug-compilation-dir,The compilation directory to embed in the debug info.,0,0,others,clang
201,-fdebug-default-version,"Default DWARF version to use, if a -g option caused DWARF debug info to be produced",0,0,others,clang
202,-fdebug-info-for-profiling,Emit extra debug info to make sample profile more accurate.,1,6,function-tradeoff,clang
203,-fdebug-macro,Emit macro debug information,1,6,function-tradeoff,clang
204,-fdebug-prefix-map=value,remap file source paths in debug info,0,0,others,clang
205,-fdebug-ranges-base-address,Use DWARF base address selection entries in debug_ranges,0,0,others,clang
206,-fdebug-types-section,Place debug types in their own section (ELF Only),0,0,others,clang
207,-fdeclspec,Allow __declspec as a keyword,0,0,others,clang
208,-fdelayed-template-parsing,Parse templated function definitions at the end of the translation unit,0,0,others,clang
209,-fdelete-null-pointer-checks,Treat usage of null pointers as undefined behavior.,0,0,others,clang
210,-fdiagnostics-absolute-paths,Print absolute paths in diagnostics,1,6,function-tradeoff,clang
211,-fdiagnostics-hotness-threshold,Prevent optimization remarks from being output if they do not have at least this profile count,1,6,function-tradeoff,clang
212,-fdiagnostics-parseable-fixits,Print fix-its in machine parseable form,1,6,function-tradeoff,clang
213,-fdiagnostics-print-source-range-info,Print source range spans in numeric form,1,6,function-tradeoff,clang
214,-fdiagnostics-show-hotness,Enable profile hotness information in diagnostic line,1,6,function-tradeoff,clang
215,-fdiagnostics-show-note-include-stack,Display include stacks for diagnostic notes,0,0,others,clang
216,-fdiagnostics-show-option,Print option name with mappable diagnostics,0,0,others,clang
217,-fdiagnostics-show-template-tree,Print a template comparison tree for differing templates,1,6,function-tradeoff,clang
219,-fdiscard-value-names,Discard value names in LLVM IR,0,0,others,clang
220,-fdollars-in-identifiers,Allow '$' in identifiers,0,0,others,clang
221,-fdouble-square-bracket-attributes,Enable '[[]]' attributes in all C and C++ language modes,0,0,others,clang
223,-fembed-bitcode,Embed LLVM IR bitcode as data,0,0,others,clang
224,-fembed-bitcode-marker,Embed placeholder LLVM IR data as a marker,0,0,others,clang
225,-femit-all-decls,"Emit all declarations, even if unused",1,6,function-tradeoff,clang
226,-femulated-tls,Use emutls functions to access thread_local variables,0,0,others,clang
227,-fexceptions,Enable support for exception handling,0,0,others,clang
229,-fexperimental-new-constant-interpreter,Enable the experimental new constant interpreter,0,0,others,clang
230,-fexperimental-new-pass-manager,Enables an experimental new pass manager in LLVM.,0,0,others,clang
231,-ffast-math,"Allow aggressive, lossy floating-point optimizations",1,4,limited-side-effect,clang
232,-ffile-prefix-map=value,remap file source paths in debug info and predefined preprocessor macros,0,0,others,clang
233,-ffine-grained-bitfield-accesses,Use separate accesses for consecutive bitfield runs with legal widths and alignments.,0,0,others,clang
234,-ffixed-point,Enable fixed point types,0,0,others,clang
235,-ffixed-r19,Reserve register r19 (Hexagon only),0,0,others,clang
237,-ffixed-x1,Reserve the 1 register (AArch64/RISC-V only),0,0,others,clang
238,-ffixed-x10,Reserve the 10 register (AArch64/RISC-V only),0,0,others,clang
239,-ffixed-x11,Reserve the 11 register (AArch64/RISC-V only),0,0,others,clang
240,-ffixed-x12,Reserve the 12 register (AArch64/RISC-V only),0,0,others,clang
241,-ffixed-x13,Reserve the 13 register (AArch64/RISC-V only),0,0,others,clang
242,-ffixed-x14,Reserve the 14 register (AArch64/RISC-V only),0,0,others,clang
243,-ffixed-x15,Reserve the 15 register (AArch64/RISC-V only),0,0,others,clang
244,-ffixed-x16,Reserve the 16 register (AArch64/RISC-V only),0,0,others,clang
245,-ffixed-x17,Reserve the 17 register (AArch64/RISC-V only),0,0,others,clang
246,-ffixed-x18,Reserve the 18 register (AArch64/RISC-V only),0,0,others,clang
247,-ffixed-x19,Reserve the 19 register (AArch64/RISC-V only),0,0,others,clang
248,-ffixed-x2,Reserve the 2 register (AArch64/RISC-V only),0,0,others,clang
249,-ffixed-x20,Reserve the 20 register (AArch64/RISC-V only),0,0,others,clang
250,-ffixed-x21,Reserve the 21 register (AArch64/RISC-V only),0,0,others,clang
251,-ffixed-x22,Reserve the 22 register (AArch64/RISC-V only),0,0,others,clang
252,-ffixed-x23,Reserve the 23 register (AArch64/RISC-V only),0,0,others,clang
253,-ffixed-x24,Reserve the 24 register (AArch64/RISC-V only),0,0,others,clang
254,-ffixed-x25,Reserve the 25 register (AArch64/RISC-V only),0,0,others,clang
255,-ffixed-x26,Reserve the 26 register (AArch64/RISC-V only),0,0,others,clang
257,-ffixed-x28,Reserve the 28 register (AArch64/RISC-V only),0,0,others,clang
258,-ffixed-x29,Reserve the 29 register (AArch64/RISC-V only),0,0,others,clang
259,-ffixed-x3,Reserve the 3 register (AArch64/RISC-V only),0,0,others,clang
260,-ffixed-x30,Reserve the 30 register (AArch64/RISC-V only),0,0,others,clang
261,-ffixed-x31,Reserve the 31 register (AArch64/RISC-V only),0,0,others,clang
262,-ffixed-x4,Reserve the 4 register (AArch64/RISC-V only),0,0,others,clang
263,-ffixed-x5,Reserve the 5 register (AArch64/RISC-V only),0,0,others,clang
264,-ffixed-x6,Reserve the 6 register (AArch64/RISC-V only),0,0,others,clang
265,-ffixed-x7,Reserve the 7 register (AArch64/RISC-V only),0,0,others,clang
266,-ffixed-x8,Reserve the 8 register (AArch64/RISC-V only),0,0,others,clang
267,-ffixed-x9,Reserve the 9 register (AArch64/RISC-V only),0,0,others,clang
270,-fforce-enable-int128,Enable support for int128_t type,0,0,others,clang
271,-ffp-contract,Form fused FP ops (e.g. FMAs): fast (everywhere) | on (according to FP_CONTRACT pragma) | off (never fuse). Default is 'fast' for CUDA/HIP and 'on' otherwise.,1,4,limited-side-effect,clang
273,-ffp-model,Controls the semantics of floating-point calculations.,0,0,others,clang
274,-ffreestanding,Assert that the compilation takes place in a freestanding environment,0,0,others,clang
276,-fgnu89-inline,Use the gnu89 inline semantics,0,0,others,clang
277,-fgnuc-version,Sets various macros to claim compatibility with the given GCC version (default is 4.2.1),0,0,others,clang
278,-fgnu-keywords,Allow GNU-extension keywords regardless of language standard,0,0,others,clang
279,-fgnu-runtime,Generate output compatible with the standard GNU Objective-C runtime,1,6,function-tradeoff,clang
280,-fgpu-allow-device-init,Allow device side init function in HIP,0,0,others,clang
282,-fhip-new-launch-api,Use new kernel launching API for HIP.,0,0,others,clang
283,-fimplicit-module-maps,Implicitly search the file system for module map files.,0,0,others,clang
284,-finline-functions,Inline suitable functions,0,0,others,clang
285,-finline-hint-functions,Inline functions which are (explicitly or implicitly) marked inline,0,0,others,clang
286,-finstrument-function-entry-bare,"Instrument function entry only, after inlining, without arguments to the instrumentation call",0,0,others,clang
287,-finstrument-functions,Generate calls to instrument function entry and exit,0,0,others,clang
289,-fintegrated-as,Enable the integrated assembler,0,0,others,clang
290,-fintegrated-cc1,Run cc1 in-process,0,0,others,clang
291,-fkeep-static-consts,Keep static const variables even if unused,0,0,others,clang
292,-flax-vector-conversions,Enable implicit vector bit-casts,0,0,others,clang
293,-flto,Enable LTO in 'full' mode,0,0,others,clang
294,-flto-jobs,Controls the backend parallelism of -flto=thin (default of 0 means the number of threads will be derived from the number of CPUs detected),1,1,resource,clang
295,-fmacro-prefix-map=value,remap file source paths in predefined preprocessor macros,0,0,others,clang
296,-fmath-errno,Require math functions to indicate errors by setting errno,0,0,others,clang
297,-fmax-type-align,Specify the maximum alignment to enforce on pointers lacking an explicit alignment,0,0,others,clang
298,-fmerge-all-constants,Allow merging of constants,0,0,others,clang
299,-fmodule-file=[name=]file,"Specify the mapping of module name to precompiled module file, or load a module file if name is omitted.",0,0,others,clang
300,-fmodule-map-file=file,Load this module map file,0,0,others,clang
301,-fmodule-name=name,Specify the name of the module to build,0,0,others,clang
302,-fmodules,Enable the 'modules' language feature,0,0,others,clang
303,-fmodules-cache-path,Specify the module cache path,0,0,others,clang
304,-fmodules-decluse,Require declaration of modules used within a module,0,0,others,clang
305,-fmodules-disable-diagnostic-validation,Disable validation of the diagnostic options when loading the module,0,0,others,clang
307,-fmodules-prune-after=seconds,Specify the interval (in seconds) after which a module file will be considered unused,0,0,others,clang
308,-fmodules-prune-interval,Specify the interval (in seconds) between attempts to prune the module cache,0,0,others,clang
310,-fmodules-strict-decluse,Like -fmodules-decluse but requires all headers to be in modules,0,0,others,clang
312,-fmodules-user-build-path,Specify the module user build path,0,0,others,clang
