ID,name,description,p,s,label,software,filter,study
14,cdc_raw_directory,CommitLogSegments are moved to this directory on flush if cdc_enabled: true and the segment contains mutations for a CDC-enabled table.,0,0,others,cassandra,0,0
15,cdc_total_space_in_mb,Total space to use for change-data-capture logs on disk.,0,0,others,cassandra,0,1
16,cluster_name,The name of the cluster. This is mainly used to prevent machines in one logical cluster from joining another.,0,0,others,cassandra,0,1
17,column_index_cache_size_in_kb,Per sstable indexed key cache entries (the collation index in memory mentioned above) exceeding this size will not be held on heap.,1,1,resource,cassandra,0,0
18,column_index_size_in_kb,"Granularity of the collation index of rows within a partition. Increase if your rows are large, or if you have a very large number of rows per partition. The competing goals are these: a smaller granularity means more index entries are generated and looking up rows withing the partition by collation column is faste but, Cassandra will keep the collation index in memory for hot rows (as part of the key cache), so a larger granularity means you can cache more hot rows",1,5,workload-specific,cassandra,0,0
19,commit_failure_policy,Policy for commit disk failures,1,3,reliability-tradeoff,cassandra,0,1
20,commitlog_compression,"Compression to apply to the commit log. If omitted, the commit log will be written uncompressed.",1,4,limited-side-effect,cassandra,0,1
21,commitlog_directory,"commit log. when running on magnetic HDD, this should be a separate spindle than the data directories.",0,0,others,cassandra,0,1
22,commitlog_segment_size_in_mb,"The size of the individual commitlog file segments. A commitlog segment may be archived, deleted, or recycled once all the data in it (potentially from each columnfamily in the system) has been flushed to sstables.",1,3,reliability-tradeoff,cassandra,0,0
23,commitlog_sync,"When in batch mode, Cassandra won’t ack writes until the commit log has been fsynced to disk. It will wait commitlog_sync_batch_window_in_ms milliseconds between fsyncs. This window should be kept short because the writer threads will be unable to do extra work while waiting.",1,3,reliability-tradeoff,cassandra,0,1
24,commitlog_total_space_in_mb,"Total space to use for commit logs on disk.If space gets above this value, Cassandra will flush every dirty CF in the oldest segment and remove it. So a small total commitlog space will tend to cause more flush activity on less-active columnfamilies.",1,3,reliability-tradeoff,cassandra,0,0
25,compaction_large_partition_warning_threshold_mb,Log a warning when compacting partitions larger than this value,1,5,workload-specific,cassandra,0,1
26,compaction_throughput_mb_per_sec,Throttles compaction to the given total throughput across the entire system.,1,5,workload-specific,cassandra,0,0
27,concurrent_compactors,"Number of simultaneous compactions to allow, NOT including validation ""compactions"" for anti-entropy repair. Simultaneous compactions can help preserve read performance in a mixed read/write workload, by mitigating the tendency of small sstables to accumulate during a single long running compactions. The default is usually fine and if you experience problems with compaction running too slowly or too fast, you should look at compaction_throughput_mb_per_sec first.",1,5,workload-specific,cassandra,0,0
28,concurrent_materialized_view_writes,"For materialized view writes, as there is a read involved, so this should be limited by the less of concurrent reads or concurrent writes.",1,1,resource,cassandra,0,0
29,concurrent_reads,concurrent_reads should be set to (16 * number_of_drives) in order to allow the operations to enqueue low enough in the stack that the OS and drives can reorder them.,1,1,resource,cassandra,0,0
30,concurrent_writes,"since writes are almost never IO bound, the ideal number of concurrent_writes is dependent on the number of cores in your system; (8 * number_of_cores) is a good rule of thumb.",1,1,resource,cassandra,0,0
31,counter_cache_keys_to_save,"Number of keys from the counter cache to save. Disabled by default, meaning all keys are going to be saved",1,1,resource,cassandra,0,0
32,counter_cache_save_period,Duration in seconds after which Cassandra should save the counter cache (keys only). Caches are saved to saved_caches_directory as specified in this configuration file.,1,5,workload-specific,cassandra,0,0
33,counter_cache_size_in_mb,Maximum size of the counter cache in memory.,1,1,resource,cassandra,0,1
34,counter_write_request_timeout_in_ms,How long the coordinator should wait for counter writes to complete,0,0,others,cassandra,0,0
35,credentials_update_interval_in_ms,"Refresh interval for credentials cache (if enabled). After this interval, cache entries become eligible for refresh.",1,5,workload-specific,cassandra,0,0
36,credentials_validity_in_ms,"Please note, credentials are cached in their encrypted form, so while activating this cache may reduce the number of queries made to the underlying table, it may not bring a significant reduction in the latency of individual authentication attempts.",1,2,security-tradeoff,cassandra,0,0
37,cross_node_timeout,"Enable operation timeout information exchange between nodes to accurately measure request timeouts. If disabled, replicas will assume that requests were forwarded to them instantly by the coordinator, which means that under overload conditions we will waste that much extra time processing already-timed-out requests.",1,4,limited-side-effect,cassandra,0,0
38,data_file_directories,Directories where Cassandra should store data on disk.,0,0,others,cassandra,0,0
39,disk_failure_policy,Policy for data disk failures,0,0,others,cassandra,0,0
40,dynamic_snitch_reset_interval_in_ms,"controls how often to reset all host scores, allowing a bad host to possibly recover",1,5,workload-specific,cassandra,0,0
41,dynamic_snitch_update_interval_in_ms,controls how often to perform the more expensive part of host score calculation,1,5,workload-specific,cassandra,0,0
42,enable_scripted_user_defined_functions,Enables scripted UDFs (JavaScript UDFs).,0,0,others,cassandra,0,0
43,enable_user_defined_functions,"If unset, all GC Pauses greater than gc_log_threshold_in_ms will log at INFO level. UDFs (user defined functions) are disabled by default.",1,6,function-tradeoff,cassandra,0,0
44,endpoint_snitch,Set this to a class that implements IEndpointSnitch.,0,0,others,cassandra,0,0
45,file_cache_size_in_mb,Maximum memory to use for sstable chunk cache and buffer pooling.,1,1,resource,cassandra,0,0
46,gc_log_threshold_in_ms,GC Pauses greater than 200 ms will be logged at INFO level This threshold can be adjusted to minimize logging if necessary,1,5,workload-specific,cassandra,0,0
47,gc_warn_threshold_in_ms,GC Pauses greater than gc_warn_threshold_in_ms will be logged at WARN level,1,5,workload-specific,cassandra,0,0
48,hinted_handoff_disabled_datacenters,"When hinted_handoff_enabled is true, a black list of data centers that will not perform hinted handoff",0,0,others,cassandra,0,0
49,hinted_handoff_enabled,"If a write is made and a replica node for the key is down (and hinted_handoff_enabled == true), Cassandra will write a hint.",1,6,function-tradeoff,cassandra,0,1
50,hinted_handoff_throttle_in_kb,"Maximum throttle in KBs per second, per delivery thread. This will be reduced proportionally to the number of nodes in the cluster.",1,1,resource,cassandra,0,0
51,hints_compression,"Compression to apply to the hint files. If omitted, hints files will be written uncompressed. LZ4, Snappy, and Deflate compressors are supported.",1,4,limited-side-effect,cassandra,0,0
52,hints_directory,"Directory where Cassandra should store hints. If not set, the default directory is $CASSANDRA_HOME/data/hints.",0,0,others,cassandra,0,0
53,hints_flush_period_in_ms,How often hints should be flushed from the internal buffers to disk. Will not trigger fsync.,1,3,reliability-tradeoff,cassandra,0,0
54,ideal_consistency_level,Track a metric per keyspace indicating whether replication achieved the ideal consistency level for writes without timing out. This is different from the consistency level requested by each write which may be lower in order to facilitate availability.,1,6,function-tradeoff,cassandra,0,0
55,incremental_backups,Set to true to have Cassandra create a hard link to each sstable flushed or streamed locally in a backups/ subdirectory of the keyspace data. Removing these links is the operator's responsibility.,0,0,others,cassandra,0,0
56,index_summary_capacity_in_mb,A fixed memory pool size in MB for for SSTable index summaries.,1,1,resource,cassandra,0,0
57,index_summary_resize_interval_in_minutes,How frequently index summaries should be resampled. This is done periodically to redistribute memory from the fixed-size pool to sstables proportional their recent read rates.,1,5,workload-specific,cassandra,0,1
58,initial_token,"initial_token allows you to specify tokens manually. While you can use it with vnodes (num_tokens > 1, above) in which case you should provide a comma-separated list it's primarily used when adding nodes to legacy clusters that do not have vnodes enabled.",0,0,others,cassandra,0,0
59,inter_dc_tcp_nodelay,"Enable or disable tcp_nodelay for inter-dc communication. Disabling it will result in larger (but fewer) network packets being sent, reducing overhead from the TCP protocol itself, at the cost of increasing latency if you block for cross-datacenter responses",1,4,limited-side-effect,cassandra,0,0
60,internode_authenticator,"Internode authentication backend, implementing IInternodeAuthenticator; used to allow/disallow connections from peer nodes.",0,0,others,cassandra,0,0
61,internode_compression,internode_compression controls whether traffic between nodes is compressed,1,4,limited-side-effect,cassandra,0,1
62,key_cache_keys_to_save,"Number of keys from the key cache to save. Disabled by default, meaning all keys are going to be saved",1,1,resource,cassandra,0,1
63,key_cache_save_period,"Duration in seconds after which Cassandra should save the key cache. Caches are saved to saved_caches_directory as specified in this configuration file. Saved caches greatly improve cold-start speeds, and is relatively cheap in terms of I/O for the key cache.",1,5,workload-specific,cassandra,0,0
64,key_cache_size_in_mb,"The key cache is fairly tiny for the amount of time it saves, so it's worthwhile to use it at large numbers. The row cache saves even more time, but must contain the entire row, so it is extremely space-intensive.",1,1,resource,cassandra,0,0
65,listen_address,Address or interface to bind to and tell other Cassandra nodes to connect to. You _must_ change this if you want multiple nodes to be able to communicate!,0,0,others,cassandra,0,0
66,listen_interface,"Set listen_address OR listen_interface, not both. Interfaces must correspond to a single address, IP aliasing is not supported.",0,0,others,cassandra,0,0
67,listen_interface_prefer_ipv6,If you choose to specify the interface by name and the interface has an ipv4 and an ipv6 address you can specify which should be chosen using listen_interface_prefer_ipv6.,0,0,others,cassandra,0,0
68,listen_on_broadcast_address,"When using multiple physical network interfaces, set this to true to listen on broadcast_address in addition to the listen_address, allowing nodes to communicate in both interfaces.",0,0,others,cassandra,0,0
69,max_hint_window_in_ms,"this defines the maximum amount of time a dead host will have hints generated. After it has been dead this long, new hints for it will not be created until it has been seen alive and gone down again.",0,0,others,cassandra,0,0
70,max_hints_delivery_threads,"Number of threads with which to deliver hints; Consider increasing this number when you have multi-dc deployments, since cross-dc handoff tends to be slower",1,5,workload-specific,cassandra,0,0
71,max_hints_file_size_in_mb,"Maximum size for a single hints file, in megabytes.",0,0,others,cassandra,0,0
72,max_value_size_in_mb,Maximum size of any value in SSTables. Safety measure to detect SSTable corruption early.,0,0,others,cassandra,0,0
73,memtable_allocation_type,Specify the way Cassandra allocates and manages memtable memory.,1,5,workload-specific,cassandra,0,0
74,memtable_cleanup_threshold,"Ratio of occupied non-flushing memtable size to total permitted size that will trigger a flush of the largest memtable. Larger mct will mean larger flushes and hence less compaction, but also less concurrent flush activity which can make it difficult to keep your disks fed under heavy write load.",1,5,workload-specific,cassandra,0,0
75,memtable_flush_writers,This sets the number of memtable flush writer threads per disk as well as the total number of memtables that can be flushed concurrently. These are generally a combination of compute and IO bound.,1,1,resource,cassandra,0,1
76,memtable_heap_space_in_mb,"Total permitted memory to use for memtables. Cassandra will stop accepting writes when the limit is exceeded until a flush completes, and will trigger a flush based on memtable_cleanup_threshold",1,3,reliability-tradeoff,cassandra,0,0
77,native_transport_max_concurrent_connections,The maximum number of concurrent client connections.,1,1,resource,cassandra,0,0
78,native_transport_max_concurrent_connections_per_ip,The maximum number of concurrent client connections per source ip.,1,1,resource,cassandra,0,0
79,native_transport_max_frame_size_in_mb,The maximum size of allowed frame. Frame (requests) larger than this will be rejected as invalid.,0,0,others,cassandra,0,0
80,native_transport_max_threads,The maximum threads for handling requests (note that idle threads are stopped after 30 seconds so there is not corresponding minimum setting).,1,1,resource,cassandra,0,0
81,native_transport_port,"port for the CQL native transport to listen for clients on For security reasons, you should not expose this port to the internet.",0,0,others,cassandra,0,1
82,native_transport_port_ssl,Setting native_transport_port_ssl to a different value from native_transport_port will use encryption for native_transport_port_ssl while keeping native_transport_port unencrypted.,1,2,security-tradeoff,cassandra,0,0
83,num_tokens,"This defines the number of tokens randomly assigned to this node on the ring The more tokens, relative to other nodes, the larger the proportion of data that this node will store.",0,0,others,cassandra,0,0
84,otc_backlog_expiration_interval_ms,How many milliseconds to wait between two expiration runs on the backlog (queue) of the OutboundTcpConnection.,0,0,others,cassandra,0,0
85,otc_coalescing_enough_coalesced_messages,Do not try to coalesce messages if we already got that many messages. This should be more than 2 and less than 128.,1,4,limited-side-effect,cassandra,0,0
86,otc_coalescing_window_us,How many microseconds to wait for coalescing. For fixed strategy this is the amount of time after the first message is received before it will be sent with any accompanying messages. For moving average this is the maximum amount of time that will be waited as well as the interval at which messages must arrive on average for coalescing to be enabled.,0,0,others,cassandra,0,0
87,partitioner,The partitioner is responsible for distributing groups of rows (by partition key) across nodes in the cluster. You should leave this alone for new clusters.,0,0,others,cassandra,0,0
88,permissions_update_interval_in_ms,"Refresh interval for permissions cache (if enabled). After this interval, cache entries become eligible for refresh. Upon next access, an async reload is scheduled and the old value returned until it completes.",0,0,others,cassandra,0,0
89,permissions_validity_in_ms,"Validity period for permissions cache (fetching permissions can be an expensive operation depending on the authorizer, CassandraAuthorizer is one example).",1,2,security-tradeoff,cassandra,0,0
90,prepared_statements_cache_size_mb,Maximum size of the native protocol prepared statement cache,1,1,resource,cassandra,0,0
91,range_request_timeout_in_ms,How long the coordinator should wait for seq or index scans to complete,0,0,others,cassandra,0,0
92,read_request_timeout_in_ms,How long the coordinator should wait for read operations to complete,0,0,others,cassandra,0,0
93,request_timeout_in_ms,"The default timeout for other, miscellaneous operations",0,0,others,cassandra,0,0
94,role_manager,"Part of the Authentication & Authorization backend, implementing IRoleManager; used to maintain grants and memberships between roles.",0,0,others,cassandra,0,0
95,roles_update_interval_in_ms,"Refresh interval for roles cache (if enabled). After this interval, cache entries become eligible for refresh. Upon next access, an async reload is scheduled and the old value returned until it completes.",1,2,security-tradeoff,cassandra,0,0
96,roles_validity_in_ms,"Validity period for roles cache (fetching granted roles can be an expensive operation depending on the role manager, CassandraRoleManager is one example) Granted roles are cached for authenticated sessions in AuthenticatedUser and after the period specified here, become eligible for (async) reload.",1,2,security-tradeoff,cassandra,0,0
97,row_cache_class_name,Row cache implementation class name.,0,0,others,cassandra,0,1
98,row_cache_keys_to_save,"Number of keys from the row cache to save. Specify 0 (which is the default), meaning all keys are going to be saved",1,1,resource,cassandra,0,0
99,row_cache_save_period,"Duration in seconds after which Cassandra should save the row cache. Saved caches greatly improve cold-start speeds, and is relatively cheap in terms of I/O for the key cache. Row cache saving is much more expensive and has limited use.",1,5,workload-specific,cassandra,0,0
100,row_cache_size_in_mb,Maximum size of the row cache in memory.,1,1,resource,cassandra,0,0
101,rpc_address,The address or interface to bind the native transport server to.,0,0,others,cassandra,0,1
102,rpc_interface,"Set rpc_address OR rpc_interface, not both. Interfaces must correspond to a single address, IP aliasing is not supported.",0,0,others,cassandra,0,1
103,rpc_interface_prefer_ipv6,If you choose to specify the interface by name and the interface has an ipv4 and an ipv6 address you can specify which should be chosen using rpc_interface_prefer_ipv6.,0,0,others,cassandra,0,1
104,rpc_keepalive,enable or disable keepalive on rpc/native connections,0,0,others,cassandra,0,0
105,saved_caches_directory,"saved caches If not set, the default directory is $CASSANDRA_HOME/data/saved_caches.",0,0,others,cassandra,0,0
106,slow_query_log_timeout_in_ms,How long before a node logs slow queries.,0,0,others,cassandra,0,0
107,snapshot_before_compaction,"Whether or not to take a snapshot before each compaction. Be careful using this option, since Cassandra won't clean up the snapshots for you. Mostly useful if you're paranoid when there is a data format change.",1,3,reliability-tradeoff,cassandra,0,1
108,ssl_storage_port,"SSL port, for encrypted communication.",0,0,others,cassandra,0,0
109,sstable_preemptive_open_interval_in_mb,"When compacting, the replacement sstable(s) can be opened before they are completely written, and used in place of the prior sstables for any range that has been written. This helps to smoothly transfer reads between the sstables, reducing page cache churn and keeping hot rows hot",1,1,resource,cassandra,0,1
110,start_native_transport,Whether to start the native transport server.,0,0,others,cassandra,0,1
111,storage_port,"TCP port, for commands and data For security reasons, you should not expose this port to the internet. Firewall it if needed.",0,0,others,cassandra,0,0
112,tracetype_query_ttl,TTL for different trace types used during logging of the repair process.,0,0,others,cassandra,0,1
113,transparent_data_encryption_options,Enables encrypting data at-rest (on disk).,1,2,security-tradeoff,cassandra,0,0
114,trickle_fsync,"Whether to, when doing sequential writing, fsync() at intervals in order to force the operating system to flush the dirty buffers. Enable this to avoid sudden dirty buffer flushing from impacting read latencies.",1,3,reliability-tradeoff,cassandra,0,1
115,truncate_request_timeout_in_ms,How long the coordinator should wait for truncates to complete,0,0,others,cassandra,0,0
116,write_request_timeout_in_ms,How long the coordinator should wait for writes to complete,0,0,others,cassandra,0,0
117,--analyze,Run the static analyzer,1,6,function-tradeoff,clang,0,0
118,--analyzer-output,Static analyzer report output format (html|plist|plist-multi-file|plist-html|sarif|text).,0,0,others,clang,0,0
119,-arcmt-migrate-emit-errors,Emit ARC errors even if the migrator can fix them,1,6,function-tradeoff,clang,0,1
120,-arcmt-migrate-report-output,Output path for the plist report,1,6,function-tradeoff,clang,0,0
122,-C(captal),Include comments in preprocessed output,1,6,function-tradeoff,clang,0,0
123,-c,"Only run preprocess, compile, and assemble steps",1,6,function-tradeoff,clang,0,0
124,-CC,Include comments from within macros in preprocessed output,1,6,function-tradeoff,clang,0,0
125,-cl-denorms-are-zero,OpenCL only. Allow denormals to be flushed to zero.,1,4,limited-side-effect,clang,0,1
126,-cl-fast-relaxed-math,"OpenCL only. Sets -cl-finite-math-only and -cl-unsafe-math-optimizations, and defines __FAST_RELAXED_MATH__.",1,4,limited-side-effect,clang,0,0
127,-cl-finite-math-only,OpenCL only. Allow floating-point optimizations that assume arguments and results are not NaNs or +-Inf.,1,4,limited-side-effect,clang,0,0
128,-cl-fp32-correctly-rounded-divide-sqrt,OpenCL only. Specify that single precision floating-point divide and sqrt used in the program source are correctly rounded.,0,0,others,clang,0,0
129,-cl-kernel-arg-info,OpenCL only. Generate kernel argument metadata.,0,0,others,clang,0,0
130,-cl-mad-enable,OpenCL only. Allow use of less precise MAD computations in the generated binary.,0,0,others,clang,0,0
131,-cl-no-signed-zeros,OpenCL only. Allow use of less precise no signed zeros computations in the generated binary.,0,0,others,clang,0,0
132,-cl-opt-disable,OpenCL only. This option disables all optimizations. By default optimizations are enabled.,1,4,limited-side-effect,clang,0,0
133,-cl-single-precision-constant,OpenCL only. Treat double precision floating-point constant as single precision constant.,0,0,others,clang,0,0
134,-cl-std=value,OpenCL language standard to compile for.,0,0,others,clang,0,0
135,-cl-strict-aliasing,OpenCL only. This option is added for compatibility with OpenCL 1.0.,0,0,others,clang,0,0
136,-cl-uniform-work-group-size,OpenCL only. Defines that the global work-size be a multiple of the work-group size specified to clEnqueueNDRangeKernel,0,0,others,clang,0,0
137,-cl-unsafe-math-optimizations,OpenCL only. Allow unsafe floating-point optimizations. Also implies -cl-no-signed-zeros and -cl-mad-enable.,1,4,limited-side-effect,clang,0,1
140,--cuda-device-only,Compile CUDA code for device only,0,0,others,clang,0,0
141,--cuda-gpu-arch,CUDA GPU architecture (e.g. sm_35). May be specified more than once.,0,0,others,clang,0,0
143,--cuda-include-ptx,Include PTX for the following GPU architecture (e.g. sm_35) or 'all'. May be specified more than once.,0,0,others,clang,0,1
144,--cuda-noopt-device-debug,Enable device-side debug info generation. Disables ptxas optimizations.,1,6,function-tradeoff,clang,0,1
146,--cuda-path-ignore-env,Ignore environment variables to detect CUDA installation,0,0,others,clang,0,0
148,-D,Define <macro> to <value> (or 1 if <value> omitted),0,0,others,clang,0,0
149,-dD,Print macro definitions in -E mode in addition to normal output,1,6,function-tradeoff,clang,0,0
150,-dependency-dot,Filename to write DOT-formatted header dependencies to,0,0,others,clang,0,0
151,-dependency-file,Filename (or -) to write dependency output to,0,0,others,clang,0,1
152,-dI,Print include directives in -E mode in addition to normal output,1,6,function-tradeoff,clang,0,0
153,-dM,Print macro definitions in -E mode instead of normal output,1,6,function-tradeoff,clang,0,0
154,-E,Only run the preprocessor,0,0,others,clang,0,0
155,-emit-ast,Emit Clang AST files for source inputs,1,6,function-tradeoff,clang,0,0
156,-emit-interface-stubs,Generate Inteface Stub Files.,1,6,function-tradeoff,clang,0,1
157,-emit-llvm,Use the LLVM representation for assembler and object files,1,6,function-tradeoff,clang,0,0
158,-emit-merged-ifs,"Generate Interface Stub Files, emit merged text not binary.",1,6,function-tradeoff,clang,0,0
159,-enable-trivial-auto-var-init-zero-knowing-it-will-be-removed-from-clang,"Trivial automatic variable initialization to zero is only here for benchmarks, it'll eventually be removed, and I'm OK with that because I'm only using it to benchmark",1,6,function-tradeoff,clang,0,0
161,-faddrsig,Emit an address-significance table,1,6,function-tradeoff,clang,0,0
162,-faligned-allocation,Enable C++17 aligned allocation functions,0,0,others,clang,0,0
163,-fallow-editor-placeholders,Treat editor placeholders as valid source code,0,0,others,clang,0,0
164,-fansi-escape-codes,Use ANSI escape codes for diagnostics,0,0,others,clang,0,1
165,-fapple-kext,Use Apple's kernel extensions ABI,0,0,others,clang,0,0
166,-fapple-link-rtlib,Force linking the clang builtins runtime library,0,0,others,clang,0,0
167,-fapple-pragma-pack,Enable Apple gcc-compatible #pragma pack handling,0,0,others,clang,0,0
168,-fapplication-extension,Restrict code to those available for App Extensions,0,0,others,clang,0,0
169,-fblocks,Enable the 'blocks' language feature,0,0,others,clang,0,0
170,-fborland-extensions,Accept non-standard constructs supported by the Borland compiler,0,0,others,clang,0,0
172,-fbuild-session-timestamp=value ,Time when the current build session started,0,0,others,clang,0,0
174,-fc++-static-destructors,Enable C++ static destructor registration (the default),0,0,others,clang,0,0
175,-fcall-saved-x10,Make the x10 register call-saved (AArch64 only),0,0,others,clang,0,0
176,-fcall-saved-x11,Make the x11 register call-saved (AArch64 only),0,0,others,clang,0,0
177,-fcall-saved-x12,Make the x12 register call-saved (AArch64 only),0,0,others,clang,0,0
178,-fcall-saved-x13,Make the x13 register call-saved (AArch64 only),0,0,others,clang,0,0
179,-fcall-saved-x14,Make the x14 register call-saved (AArch64 only),0,0,others,clang,0,0
180,-fcall-saved-x15,Make the x15 register call-saved (AArch64 only),0,0,others,clang,0,0
181,-fcall-saved-x18,Make the x18 register call-saved (AArch64 only),0,0,others,clang,0,0
182,-fcall-saved-x8,Make the x8 register call-saved (AArch64 only),0,0,others,clang,0,0
183,-fcall-saved-x9,Make the x9 register call-saved (AArch64 only),0,0,others,clang,0,0
184,-fcf-protection,"Instrument control-flow architecture protection. Options: return, branch, full, none.",1,2,security-tradeoff,clang,0,0
185,-fchar8_t,Enable C++ builtin type char8_t,0,0,others,clang,0,0
186,-fclang-abi-compat,Attempt to match the ABI of Clang <version>,0,0,others,clang,0,0
187,-fcolor-diagnostics,Use colors in diagnostics,0,0,others,clang,0,0
188,-fcomment-block-commands,Treat each comma separated argument in <arg> as a documentation comment block command,0,0,others,clang,0,0
189,-fcomplete-member-pointers,Require member pointer base types to be complete if they would be significant under the Microsoft ABI,0,0,others,clang,0,0
190,-fconvergent-functions,Assume functions may be convergent,0,0,others,clang,0,0
191,-fcoroutines-ts,Enable support for the C++ Coroutines TS,0,0,others,clang,0,0
192,-fcoverage-mapping,Generate coverage mapping to enable code coverage analysis,0,0,others,clang,0,0
193,-fcs-profile-generate,Generate instrumented code to collect context sensitive execution counts into default.profraw (overridden by LLVM_PROFILE_FILE env var),0,0,others,clang,0,0
194,-fcs-profile-generate=,Generate instrumented code to collect context sensitive execution counts into /default.profraw (overridden by LLVM_PROFILE_FILE env var),0,0,others,clang,0,1
195,-fcuda-approx-transcendentals,Use approximate transcendental functions,0,0,others,clang,0,1
196,-fcuda-flush-denormals-to-zero,Flush denormal floating point values to zero in CUDA device mode.,0,0,others,clang,0,0
198,-fcxx-exceptions,Enable C++ exceptions,1,3,reliability-tradeoff,clang,0,1
199,-fdata-sections,Place each data in its own section (ELF Only),0,0,others,clang,0,1
201,-fdebug-default-version,"Default DWARF version to use, if a -g option caused DWARF debug info to be produced",0,0,others,clang,0,0
202,-fdebug-info-for-profiling,Emit extra debug info to make sample profile more accurate.,1,6,function-tradeoff,clang,0,0
203,-fdebug-macro,Emit macro debug information,1,6,function-tradeoff,clang,0,0
206,-fdebug-types-section,Place debug types in their own section (ELF Only),0,0,others,clang,0,0
207,-fdeclspec,Allow __declspec as a keyword,0,0,others,clang,0,0
208,-fdelayed-template-parsing,Parse templated function definitions at the end of the translation unit,0,0,others,clang,0,0
209,-fdelete-null-pointer-checks,Treat usage of null pointers as undefined behavior.,0,0,others,clang,0,0
210,-fdiagnostics-absolute-paths,Print absolute paths in diagnostics,1,6,function-tradeoff,clang,0,0
211,-fdiagnostics-hotness-threshold,Prevent optimization remarks from being output if they do not have at least this profile count,1,6,function-tradeoff,clang,0,0
212,-fdiagnostics-parseable-fixits,Print fix-its in machine parseable form,1,6,function-tradeoff,clang,0,0
213,-fdiagnostics-print-source-range-info,Print source range spans in numeric form,1,6,function-tradeoff,clang,0,0
214,-fdiagnostics-show-hotness,Enable profile hotness information in diagnostic line,1,6,function-tradeoff,clang,0,0
215,-fdiagnostics-show-note-include-stack,Display include stacks for diagnostic notes,0,0,others,clang,0,0
216,-fdiagnostics-show-option,Print option name with mappable diagnostics,0,0,others,clang,0,0
217,-fdiagnostics-show-template-tree,Print a template comparison tree for differing templates,1,6,function-tradeoff,clang,0,0
218,-fdigraphs,"Enable alternative token representations '<:',':>','<%','%>','%:','%:%:' (default)",0,0,others,clang,0,1
219,-fdiscard-value-names,Discard value names in LLVM IR,0,0,others,clang,0,0
220,-fdollars-in-identifiers,Allow '$' in identifiers,0,0,others,clang,0,0
221,-fdouble-square-bracket-attributes,Enable '[[]]' attributes in all C and C++ language modes,0,0,others,clang,0,0
222,-fdwarf-exceptions,Use DWARF style exceptions,0,0,others,clang,0,1
223,-fembed-bitcode,Embed LLVM IR bitcode as data,0,0,others,clang,0,0
224,-fembed-bitcode-marker,Embed placeholder LLVM IR data as a marker,0,0,others,clang,0,0
225,-femit-all-decls,"Emit all declarations, even if unused",1,6,function-tradeoff,clang,0,0
226,-femulated-tls,Use emutls functions to access thread_local variables,0,0,others,clang,0,0
227,-fexceptions,Enable support for exception handling,0,0,others,clang,0,0
228,-fexperimental-isel,Enables the experimental global instruction selector,0,0,others,clang,0,1
229,-fexperimental-new-constant-interpreter,Enable the experimental new constant interpreter,0,0,others,clang,0,0
230,-fexperimental-new-pass-manager,Enables an experimental new pass manager in LLVM.,0,0,others,clang,0,0
231,-ffast-math,"Allow aggressive, lossy floating-point optimizations",1,4,limited-side-effect,clang,0,0
233,-ffine-grained-bitfield-accesses,Use separate accesses for consecutive bitfield runs with legal widths and alignments.,0,0,others,clang,0,0
234,-ffixed-point,Enable fixed point types,0,0,others,clang,0,0
235,-ffixed-r19,Reserve register r19 (Hexagon only),0,0,others,clang,0,0
236,-ffixed-r9,Reserve the r9 register (ARM only),0,0,others,clang,0,1
